BreachDate,PwnCount,,,,
1/3/2015,14936670,,,,
22/3/2020,8661578,,,,
1/1/2012,6414191,,19142775.54,AVERAGE,
19/4/2016,4009640,,1131432.5,MEDIAN,
28/12/2011,7485802,,74965890.18,STAND DEV,
19/2/2018,80115532,,75023622.88,STAND POP,
20/12/2017,17706,,,,
5/7/2018,14867999,,,,
1/1/2011,9121434,,,,
1/7/2018,15025407,,,,
27/6/2017,17979961,,,,
1/11/2015,776125,,,,
15/11/2022,919790,,,,
1/7/2016,1372550,,,,
25/11/2014,432943,,,,
8/10/2021,1583193,,,,
5/11/2018,9363740,,,,
3/1/2021,4284538,,,,
1/12/2021,5470063,,,,
4/10/2013,152445165,,,,
21/5/2015,3867997,,,,
16/10/2016,169746810,,,,
30/5/2018,186082,,,,
1/4/2018,66308,,,,
24/9/2019,90478,,,,
30/5/2013,180468,,,,
5/12/2017,20580060,,,,
28/4/2019,305470,,,,
27/9/2016,6496778,,,,
13/12/2018,266399,,,,
19/7/2016,917461,,,,
16/5/2022,108940,,,,
7/11/2015,297806,,,,
30/10/2011,745355,,,,
12/10/2020,7104998,,,,
27/2/2020,1431378,,,,
1/1/2016,368507,,,,
10/7/2018,22437749,,,,
16/12/2016,457962538,,,,
23/7/2018,125929660,,,,
25/3/2017,49681,,,,
22/6/2020,5888405,,,,
13/4/2020,20012235,,,,
1/1/2019,10604307,,,,
18/5/2016,1531235,,,,
1/4/2018,1079970,,,,
19/6/2019,157692,,,,
19/7/2015,30811934,,,,
19/12/2013,5788,,,,
6/12/2015,1436486,,,,
25/8/2018,261463,,,,
14/8/2019,2743539,,,,
4/2/2018,143717,,,,
6/1/2023,20032,,,,
26/5/2014,422959,,,,
17/12/2019,4101101,,,,
18/7/2017,105059554,,,,
24/10/2008,846742,,,,
1/6/2013,112005531,,,,
29/12/2018,213415,,,,
18/8/2014,2107000,,,,
26/6/2011,530270,,,,
11/1/2016,83610,,,,
11/11/2015,1100089,,,,
1/2/2014,20902,,,,
15/5/2017,2231256,,,,
1/11/2019,93343,,,,
19/3/2018,3204,,,,
27/1/2020,1274340,,,,
14/10/2020,24500011,,,,
3/4/2014,36789,,,,
1/9/2014,1287073,,,,
2/12/2016,3402,,,,
9/1/2014,4789599,,,,
22/5/2015,501407,,,,
8/5/2014,9313136,,,,
1/1/2016,34235,,,,
23/6/2014,777387,,,,
6/5/2022,174168,,,,
14/7/2019,140029,,,,
28/12/2018,7633234,,,,
1/3/2017,995274,,,,
7/12/2018,575437,,,,
14/8/2020,2811929,,,,
28/1/2021,498297,,,,
8/7/2018,3830916,,,,
13/11/2014,238373,,,,
12/1/2021,1460130,,,,
29/3/2014,158093,,,,
14/8/2022,349627,,,,
1/4/2013,790724,,,,
2/11/2021,362426,,,,
1/10/2014,568340,,,,
26/12/2019,444241,,,,
23/10/2017,13369666,,,,
15/7/2019,471167,,,,
25/4/2014,26596,,,,
10/4/2014,2628148,,,,
20/2/2019,23205290,,,,
5/2/2014,227746,,,,
24/5/2019,137272116,,,,
12/12/2020,263829,,,,
28/12/2021,303877,,,,
18/3/2021,297744,,,,
17/11/2016,6844490,,,,
1/3/2020,1173012,,,,
1/3/2016,1871373,,,,
9/3/2022,19218203,,,,
26/3/2020,2520441,,,,
1/7/2015,444767,,,,
28/4/2018,39721127,,,,
5/10/2020,444224,,,,
4/11/2020,226883414,,,,
5/2/2021,110156,,,,
10/7/2011,7830195,,,,
14/7/2016,1604957,,,,
23/8/2015,15074786,,,,
4/9/2016,2424784,,,,
1/1/2017,583503,,,,
21/1/2018,1688176,,,,
27/7/2019,4007909,,,,
22/2/2017,599802,,,,
3/8/2017,478824,,,,
12/10/2021,3117548,,,,
1/12/2022,1557153,,,,
7/1/2019,772904991,,,,
8/11/2015,616882,,,,
27/3/2016,228605,,,,
8/2/2014,11010525,,,,
20/2/2020,22802117,,,,
9/9/2013,19210,,,,
21/7/2019,749161,,,,
1/7/2016,660305,,,,
1/5/2018,483015,,,,
19/1/2017,942044,,,,
8/8/2016,12865609,,,,
21/5/2021,12314,,,,
29/10/2021,1107034,,,,
1/1/2016,568827,,,,
16/5/2017,637340,,,,
13/1/2021,8032404,,,,
20/10/2016,85176234,,,,
1/1/2018,464260,,,,
1/6/2011,4848734,,,,
1/12/2015,1131636,,,,
14/11/2018,44320330,,,,
16/10/2019,622161052,,,,
23/12/2016,8176132,,,,
30/1/2017,760561,,,,
25/8/2021,7476940,,,,
28/6/2020,2964182,,,,
22/4/2019,229037936,,,,
20/2/2019,52623,,,,
14/3/2021,4845378,,,,
4/1/2021,63451,,,,
3/2/2019,1508,,,,
10/8/2014,1383759,,,,
5/9/2016,7687679,,,,
1/7/2012,17551044,,,,
1/1/2010,783058,,,,
31/7/2016,3264710,,,,
1/12/2011,8718404,,,,
13/6/2014,648231,,,,
24/3/2021,22527655,,,,
12/10/2022,34478,,,,
2/8/2022,367476,,,,
5/1/2022,370794,,,,
19/12/2020,3675099,,,,
2/7/2020,2479044,,,,
1/7/2012,68648009,,,,
1/12/2018,161749950,,,,
29/1/2021,1324364,,,,
29/3/2017,6486626,,,,
2/4/2013,1580933,,,,
19/6/2020,3465259,,,,
1/1/2011,2639894,,,,
5/12/2017,67973,,,,
16/10/2018,2789609,,,,
3/5/2019,6353564,,,,
11/5/2017,43423561,,,,
1/1/2009,1291178,,,,
1/1/2018,2325283,,,,
29/10/2018,5788169,,,,
27/1/2021,4324770,,,,
1/4/2018,1131229,,,,
15/4/2022,108887,,,,
11/8/2016,251661,,,,
1/9/2019,816662,,,,
2/1/2016,408795,,,,
13/9/2021,15003961,,,,
1/6/2015,1370175,,,,
25/9/2020,1197620,,,,
7/6/2018,655161,,,,
7/9/2016,81830,,,,
16/12/2016,16431,,,,
11/8/2019,226095,,,,
7/5/2015,435510,,,,
23/3/2019,871190,,,,
11/8/2013,100985047,,,,
1/6/2016,29396116,,,,
1/6/2018,131577763,,,,
16/9/2015,7196890,,,,
19/8/2020,1284637,,,,
13/10/2016,593427119,,,,
5/6/2017,396650,,,,
28/2/2018,19611022,,,,
1/8/2019,509458528,,,,
3/6/2016,342913,,,,
1/1/2013,87633,,,,
22/3/2017,2461696,,,,
8/10/2020,535240,,,,
30/4/2022,112251,,,,
